rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Color,tuition_increase,salary_increase,position
5,Michigan State University,Michigan,MI,Public,4 Year,24782,50087,55300,100800,46,20,#CD853F,49%,55%,
2,Michigan Technological University,Michigan,MI,Public,4 Year,26402,44482,65000,116300,47,81,#CD853F,59%,56%,
21,Mid-America Christian University,Oklahoma,OK,Private,4 Year,26370,26370,40700,74100,71,0,#4169E1,100%,55%,
18,MidAmerica Nazarene University,Kansas,KS,Private,4 Year,39444,39444,46200,78500,60,1,#4169E1,100%,59%,
23,Middle Georgia State University,Georgia,GA,Public,4 Year,13688,22648,44000,79800,57,11,#CD853F,60%,55%,
15,Middle Tennessee State University,Tennessee,TN,Public,4 Year,18642,37800,46500,81100,52,9,#CD853F,49%,57%,
1,Middlebury College,Vermont,VT,Private,4 Year,69980,69980,60400,109800,54,19,#4169E1,100%,55%,
13,Midland University,Nebraska,NE,Private,4 Year,41334,41334,43800,78100,60,7,#4169E1,100%,56%,
22,Midway University,Kentucky,KY,Private,4 Year,33130,33130,39200,70300,53,3,#4169E1,100%,56%,
25,Miles College,Alabama,AL,Private,4 Year,18646,18646,34800,65100,64,19,#4169E1,100%,53%,
25,Milligan College,Tennessee,TN,Private,4 Year,40800,40800,41200,74900,63,5,#4169E1,100%,55%,
3,Millsaps College,Mississippi,MS,Private,4 Year,53640,53640,49300,88700,56,24,#4169E1,100%,56%,
1,Milwaukee School of Engineering,Wisconsin,WI,Private,4 Year,51138,51138,65700,117600,50,69,#4169E1,100%,56%,
24,Minneapolis College of Art and Design,Minnesota,MN,Private,4 Year,44820,44820,47400,84700,39,0,#4169E1,100%,56%,
7,Minot State University,North-Dakota,ND,Public,4 Year,13674,13674,44500,74100,55,7,#CD853F,100%,60%,
5,Mississippi College,Mississippi,MS,Private,4 Year,28326,28326,45200,79500,57,20,#4169E1,100%,57%,
1,Mississippi State University,Mississippi,MS,Public,4 Year,18850,33450,51100,94100,57,27,#CD853F,56%,54%,
10,Mississippi University for Women,Mississippi,MS,Public,4 Year,14464,14464,39500,69500,63,2,#CD853F,100%,57%,
14,Mississippi Valley State University,Mississippi,MS,Public,4 Year,14613,14613,32500,61900,70,11,#CD853F,100%,53%,
1,Missouri University of Science and Technology,Missouri,MO,Public,4 Year,20443,38773,67300,122600,50,80,#CD853F,53%,55%,
22,Missouri Western State University,Missouri,MO,Public,4 Year,6466,14137,43400,77700,53,14,#CD853F,46%,56%,
18,Monmouth University,New-Jersey,NJ,Private,4 Year,52119,52119,52200,93200,44,13,#4169E1,100%,56%,
2,Montana State University,Montana,MT,Public,4 Year,17521,34949,53700,96200,54,31,#CD853F,50%,56%,
1,Montana Tech of the University of Montana,Montana,MT,Public,4 Year,17067,32230,61200,112600,64,61,#CD853F,53%,54%,
14,Montclair State University,New-Jersey,NJ,Public,4 Year,28354,36142,50800,95400,42,9,#CD853F,78%,53%,
16,Morehead State University,Kentucky,KY,Public,4 Year,19130,23606,41300,74900,56,9,#CD853F,81%,55%,
4,Morehouse College,Georgia,GA,Private,4 Year,41012,41012,55700,98700,58,26,#4169E1,100%,56%,
19,Morningside College,Iowa,IA,Private,4 Year,41140,41140,44900,82100,60,6,#4169E1,100%,55%,
8,Mount Carmel College of Nursing,Ohio,OH,Private,4 Year,18907,18907,56600,99700,78,0,#4169E1,100%,57%,
8,Mount Marty College,South-Dakota,SD,Private,4 Year,35262,35262,41400,76500,67,5,#4169E1,100%,54%,
22,Mount Mercy University,Iowa,IA,Private,4 Year,41332,41332,47200,79000,51,4,#4169E1,100%,60%,
13,Mount St. Mary's University,Maryland,MD,Private,4 Year,54425,54425,50200,94100,50,11,#4169E1,100%,53%,
17,Muhlenberg College,Pennsylvania,PA,Private,4 Year,64360,64360,53400,101900,43,20,#4169E1,100%,52%,
22,Multnomah University,Oregon,OR,Private,4 Year,34770,34770,40500,76400,82,0,#4169E1,100%,53%,
12,Murray State University,Kentucky,KY,Public,4 Year,18274,33730,44800,79900,56,9,#CD853F,54%,56%,
19,Nazarene Bible College,Colorado,CO,Private,4 Year,14700,14700,33600,60100,NA,0,#4169E1,100%,56%,
12,Nebraska Wesleyan University,Nebraska,NE,Private,4 Year,43824,43824,45700,80500,60,8,#4169E1,100%,57%,
20,New College of Florida,Florida,FL,Public,4 Year,16183,39208,47300,86500,40,4,#CD853F,41%,55%,
6,New England College,New-Hampshire,NH,Private,4 Year,52136,52136,45700,86400,43,24,#4169E1,100%,53%,
7,New England Institute of Technology,Rhode-Island,RI,Private,4 Year,43005,43005,51700,93200,44,14,#4169E1,100%,55%,
24,New Jersey City University,New-Jersey,NJ,Public,4 Year,24789,34311,48700,87600,55,9,#CD853F,72%,56%,
3,New Jersey Institute of Technology,New-Jersey,NJ,Public,4 Year,30938,46350,64600,121300,51,75,#CD853F,67%,53%,
6,New Mexico Highlands University,New-Mexico,NM,Public,4 Year,14022,18174,40400,73800,63,4,#CD853F,77%,55%,
1,New Mexico Institute of Mining and Technology,New-Mexico,NM,Public,4 Year,16280,30778,64700,120400,61,91,#CD853F,53%,54%,
23,New Orleans Baptist Theological Seminary,Louisiana,LA,Private,4 Year,10400,10400,33900,61500,NA,0,#4169E1,100%,55%,
13,New York University,New-York,NY,Private,4 Year,69984,69984,63100,117700,42,18,#4169E1,100%,54%,
19,Newberry College,South-Carolina,SC,Private,4 Year,37090,37090,41200,74700,54,14,#4169E1,100%,55%,
6,Newman University,Kansas,KS,Private,4 Year,39050,39050,48000,88500,66,11,#4169E1,100%,54%,
14,Nicholls State University,Louisiana,LA,Public,4 Year,17920,19013,44500,84300,53,5,#CD853F,94%,53%,
21,North Carolina Wesleyan College,North-Carolina,NC,Private,4 Year,41800,41800,45300,78800,62,8,#4169E1,100%,57%,
19,North Central College,Illinois,IL,Private,4 Year,49899,49899,50400,92900,45,9,#4169E1,100%,54%,
16,Northeastern State University,Oklahoma,OK,Public,4 Year,14288,22358,44500,77600,58,7,#CD853F,64%,57%,
16,Northeastern University,Massachusetts,MA,Private,4 Year,68267,68267,62500,109700,46,40,#4169E1,100%,57%,
4,Northern Arizona University,Arizona,AZ,Public,4 Year,21846,36110,49600,90000,56,12,#CD853F,60%,55%,
14,Northern Illinois University,Illinois,IL,Public,4 Year,23142,23142,53000,95500,47,20,#CD853F,100%,55%,
6,Northern Kentucky University,Kentucky,KY,Public,4 Year,20054,29702,49000,87400,46,12,#CD853F,68%,56%,
7,Northern State University,South-Dakota,SD,Public,4 Year,16527,19500,42300,77700,56,7,#CD853F,85%,54%,
17,Northwest Christian University,Oregon,OR,Private,4 Year,39350,39350,45200,81100,62,5,#4169E1,100%,56%,
13,Northwest Missouri State University,Missouri,MO,Public,4 Year,19821,26473,46900,85100,50,26,#CD853F,75%,55%,
6,Northwest Nazarene University,Idaho,ID,Private,4 Year,36700,36700,46200,80600,68,7,#4169E1,100%,57%,
16,Northwest University,Washington,WA,Private,4 Year,40170,40170,50900,89000,51,3,#4169E1,100%,57%,
18,Northwestern College,Iowa,IA,Private,4 Year,40300,40300,44800,82400,42,11,#4169E1,100%,54%,
18,Northwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,11816,18933,42200,76800,55,11,#CD853F,62%,55%,
2,Northwestern University,Illinois,IL,Private,4 Year,71193,71193,63400,115400,46,20,#4169E1,100%,55%,
3,Norwich University,Vermont,VT,Private,4 Year,53856,53856,57000,99100,51,20,#4169E1,100%,58%,
23,Notre Dame of Maryland University,Maryland,MD,Private,4 Year,48750,48750,48300,86400,58,3,#4169E1,100%,56%,
14,Nova Southeastern University,Florida,FL,Private,4 Year,44150,44150,50200,89800,60,9,#4169E1,100%,56%,
9,Oakland University,Michigan,MI,Public,4 Year,22706,34330,51300,93300,49,19,#CD853F,66%,55%,
15,Oakwood University,Alabama,AL,Private,4 Year,26032,26032,43500,78800,71,16,#4169E1,100%,55%,
13,Oberlin College,Ohio,OH,Private,4 Year,71392,71392,53100,96800,47,21,#4169E1,100%,55%,
